,0,1,2,3
581,1.0,0.99,332.0,3.04
582,0.0,0.11,2.0,0.45
583,1.0,3.259,364.0,6.82
584,0.0,0.144,5.0,1.83
585,1.0,1.199,143.0,3.21
586,2.0,0.602,8.0,3.62
587,1.0,1.786,168.0,9.32
588,0.0,0.261,8.0,0.0
589,0.0,0.498,47.0,2.64
590,2.0,0.597,79.0,2.18
591,1.0,1.152,96.0,5.91
592,3.0,0.381,34.0,3.37
593,4.0,0.225,6.0,0.91
594,0.0,0.498,47.0,2.64
595,1.0,1.128,114.0,3.15
596,0.0,0.597,123.0,3.02
597,0.0,0.187,19.0,1.13
598,0.0,0.185,20.0,0.56
599,0.0,0.185,20.0,0.56
600,0.0,0.597,123.0,3.02
601,1.0,0.681,121.0,3.98
602,1.0,1.368,207.0,8.67
603,3.0,0.304,58.0,0.68
604,0.0,0.602,88.0,3.13
605,0.0,0.314,86.0,3.4
606,0.0,0.11,2.0,0.45
607,2.0,0.536,90.0,5.82
608,0.0,0.279,30.0,0.0
609,0.0,0.153,10.0,0.0
610,2.0,0.602,8.0,3.62
611,1.0,0.948,115.0,5.19
612,1.0,0.964,40.0,4.21
613,1.0,0.714,41.0,4.03
614,0.0,0.498,47.0,2.64
615,1.0,2.027,159.0,9.72
616,4.0,0.1,1.0,1.0
617,0.0,0.498,47.0,2.64
618,0.0,0.11,2.0,0.45
619,2.0,0.379,27.0,4.42
620,0.0,0.314,86.0,3.4
621,0.0,0.196,6.0,0.0
622,0.0,0.314,86.0,3.4
623,0.0,0.314,86.0,3.4
624,0.0,0.314,86.0,3.4
625,0.0,0.11,2.0,0.45
626,4.0,0.1,1.0,1.0
627,1.0,3.599,390.0,7.14
628,1.0,2.628,182.0,4.71
629,0.0,0.326,189.0,4.4
630,2.0,0.365,38.0,2.64
631,1.0,1.218,129.0,8.83
632,0.0,0.314,86.0,3.4
633,0.0,0.11,2.0,0.45
634,0.0,0.314,86.0,3.4
635,0.0,0.11,2.0,0.45
636,0.0,0.11,2.0,0.45
637,0.0,0.11,2.0,0.45
638,3.0,0.225,13.0,0.46
639,0.0,0.11,2.0,0.45
640,0.0,0.11,2.0,0.45
641,0.0,0.3,17.0,0.0
642,1.0,0.655,53.0,4.72
643,0.0,0.35,18.0,2.17
644,1.0,0.659,52.0,7.01
645,2.0,0.381,29.0,2.07
646,0.0,0.128,6.0,0.34
647,1.0,3.599,390.0,7.14
648,1.0,3.599,390.0,7.14
649,0.0,0.466,14.0,2.76
650,0.0,0.161,19.0,0.0
651,0.0,0.11,2.0,0.45
652,0.0,0.314,86.0,3.4
