,journalName
1627619,Proceedings of the 2013 conference on Computer supported cooperative work
2415021,Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
2629615,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
2488259,Proceedings of the 18th ACM Conference Companion on Computer Supported Cooperative Work & Social Computing
807250,Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
2370497,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
266823,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems
602984,Proceedings of the 19th International Conference on Supporting Group Work
153934,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems
770857,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
2399397,Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1341324,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
2040336,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
983320,Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology
727030,Proceedings of the 17th ACM conference on Computer supported cooperative work & social computing
1285743,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
737185,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1758448,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2085239,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1299610,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1964504,Proceedings of the 29th Annual Symposium on User Interface Software and Technology
196888,2011 11th IEEE-RAS International Conference on Humanoid Robots
1769755,ACM Transactions on Graphics (TOG)
1343775,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing
816738,Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology
455591,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1989194,Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing
